PDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,ZIP
2/12/2016,68,58,48,94063
2/13/2016,68,58,48,94063
2/14/2016,73,60,48,94063
2/15/2016,77,65,53,94063
2/16/2016,75,63,51,94063
2/17/2016,71,60,50,94063
2/18/2016,60,55,50,94063
2/19/2016,62,54,46,94063
2/20/2016,59,52,46,94063
2/21/2016,62,53,44,94063
2/22/2016,68,57,46,94063
2/23/2016,68,58,48,94063
2/24/2016,71,60,48,94063
2/25/2016,68,59,50,94063
2/26/2016,68,60,51,94063
2/27/2016,66,60,53,94063
2/28/2016,64,56,48,94063
2/29/2016,71,60,50,94063
3/1/2016,68,60,53,94063
3/2/2016,66,60,53,94063
3/3/2016,64,60,55,94063
3/4/2016,64,62,59,94063
3/5/2016,62,58,55,94063
3/6/2016,59,54,50,94063
3/7/2016,57,52,46,94063
3/8/2016,59,52,46,94063
3/9/2016,66,58,51,94063
3/10/2016,68,62,57,94063
3/11/2016,57,54,50,94063
3/12/2016,59,52,44,94063
3/13/2016,59,57,55,94063
3/14/2016,59,55,50,94063
3/15/2016,66,56,46,94063
3/16/2016,71,58,46,94063
3/17/2016,75,62,50,94063
3/18/2016,62,56,50,94063
3/19/2016,68,59,50,94063
3/20/2016,66,58,50,94063
3/21/2016,62,56,50,94063
3/22/2016,60,54,48,94063
3/23/2016,66,57,48,94063
3/24/2016,68,57,46,94063
3/25/2016,68,58,48,94063
3/26/2016,68,58,48,94063
3/27/2016,62,58,53,94063
3/28/2016,57,52,48,94063
3/29/2016,62,53,44,94063
3/30/2016,62,53,44,94063
3/31/2016,66,57,48,94063
4/1/2016,64,57,50,94063
4/2/2016,68,60,51,94063
4/3/2016,66,58,50,94063
4/4/2016,68,60,53,94063
4/5/2016,78,64,50,94063
4/6/2016,84,70,55,94063
4/7/2016,71,66,60,94063
4/8/2016,66,62,59,94063
4/9/2016,62,60,57,94063
4/10/2016,57,55,53,94063
4/11/2016,62,58,53,94063
4/12/2016,60,56,53,94063
4/13/2016,64,58,53,94063
4/14/2016,62,56,50,94063
4/15/2016,66,58,50,94063
4/16/2016,80,65,50,94063
4/17/2016,82,68,53,94063
4/18/2016,84,70,55,94063
4/19/2016,80,68,55,94063
4/20/2016,73,62,50,94063
4/21/2016,71,65,59,94063
4/22/2016,62,58,55,94063
4/23/2016,66,58,51,94063
4/24/2016,64,58,51,94063
4/25/2016,62,55,48,94063
4/26/2016,62,54,46,94063
4/27/2016,59,55,51,94063
4/28/2016,69,60,50,94063
4/29/2016,64,56,48,94063
4/30/2016,75,62,50,94063
5/1/2016,80,68,55,94063
5/2/2016,68,60,53,94063
5/3/2016,71,63,55,94063
5/4/2016,68,62,55,94063
5/5/2016,64,60,55,94063
5/6/2016,59,57,55,94063
5/7/2016,62,58,55,94063
5/8/2016,66,60,55,94063
5/9/2016,66,60,53,94063
5/10/2016,71,62,53,94063
5/11/2016,68,60,53,94063
5/12/2016,55,54,53,94063
5/13/2016,64,60,55,94063
5/14/2016,69,60,50,94063
5/15/2016,68,62,55,94063
5/16/2016,77,65,53,94063
5/17/2016,87,71,55,94063
5/18/2016,84,72,59,94063
5/19/2016,64,58,53,94063
5/20/2016,59,55,51,94063
5/21/2016,62,58,53,94063
5/22/2016,64,57,50,94063
5/23/2016,66,58,51,94063
5/24/2016,64,60,55,94063
5/25/2016,64,60,55,94063
5/26/2016,68,62,55,94063
5/27/2016,80,66,51,94063
5/28/2016,82,70,57,94063
5/29/2016,71,63,55,94063
5/30/2016,77,66,55,94063
5/31/2016,80,68,55,94063
6/1/2016,75,65,55,94063
6/2/2016,80,68,57,94063
6/3/2016,95,76,57,94063
6/4/2016,80,70,59,94063
6/5/2016,73,65,57,94063
6/6/2016,73,64,55,94063
6/7/2016,71,65,59,94063
6/8/2016,68,62,57,94063
6/9/2016,66,62,57,94063
6/10/2016,69,62,55,94063
6/11/2016,84,68,53,94063
6/12/2016,75,66,57,94063
6/13/2016,66,62,57,94063
6/14/2016,66,60,55,94063
6/15/2016,64,58,53,94063
6/16/2016,73,64,55,94063
6/17/2016,71,65,59,94063
6/18/2016,75,66,57,94063
6/19/2016,84,72,59,94063
6/20/2016,84,70,57,94063
6/21/2016,86,72,57,94063
6/22/2016,73,65,57,94063
6/23/2016,77,66,55,94063
6/24/2016,80,68,57,94063
6/25/2016,89,74,59,94063
6/26/2016,84,70,57,94063
6/27/2016,80,68,55,94063
6/28/2016,77,66,55,94063
6/29/2016,69,62,55,94063
6/30/2016,80,68,55,94063
7/1/2016,71,63,55,94063
7/2/2016,75,65,55,94063
7/3/2016,73,65,57,94063
7/4/2016,73,65,57,94063
7/5/2016,71,64,57,94063
7/6/2016,68,62,55,94063
7/7/2016,66,60,55,94063
7/8/2016,75,66,57,94063
7/9/2016,77,68,59,94063
7/10/2016,75,66,57,94063
7/11/2016,78,68,57,94063
7/12/2016,75,66,57,94063
7/13/2016,86,72,57,94063
7/14/2016,77,67,57,94063
7/15/2016,73,65,57,94063
7/16/2016,71,65,59,94063
7/17/2016,73,65,57,94063
7/18/2016,68,62,57,94063
7/19/2016,71,63,55,94063
7/20/2016,78,68,57,94063
7/21/2016,75,65,55,94063
7/22/2016,82,68,55,94063
7/23/2016,87,72,57,94063
7/24/2016,80,68,57,94063
7/25/2016,77,67,57,94063
7/26/2016,86,72,57,94063
7/27/2016,80,70,60,94063
7/28/2016,77,66,55,94063
7/29/2016,75,66,57,94063
7/30/2016,75,66,57,94063
7/31/2016,75,66,57,94063
8/1/2016,73,66,59,94063
8/2/2016,71,65,59,94063
8/3/2016,75,66,57,94063
8/4/2016,69,62,55,94063
8/5/2016,68,62,57,94063
8/6/2016,71,64,57,94063
8/7/2016,75,64,53,94063
8/8/2016,75,66,57,94063
8/9/2016,77,66,55,94063
8/10/2016,73,65,57,94063
8/11/2016,75,66,57,94063
8/12/2016,73,66,57,94063
8/13/2016,80,68,55,94063
8/14/2016,73,65,57,94063
8/15/2016,73,64,55,94063
8/16/2016,71,64,57,94063
8/17/2016,75,66,57,94063
8/18/2016,75,67,59,94063
8/19/2016,73,66,59,94063
8/20/2016,71,65,59,94063
8/21/2016,73,66,59,94063
8/22/2016,73,66,59,94063
8/23/2016,73,66,59,94063
8/24/2016,71,64,57,94063
8/25/2016,71,64,57,94063
8/26/2016,73,66,59,94063
8/27/2016,73,66,60,94063
8/28/2016,73,66,59,94063
8/29/2016,73,65,57,94063
8/30/2016,80,70,59,94063
8/31/2016,73,66,59,94063
9/1/2015,78,66,55,94301
9/2/2015,77,67,57,94301
9/3/2015,75,67,59,94301
9/4/2015,75,65,55,94301
9/5/2015,82,75,66,94301
9/6/2015,87,68,50,94301
9/7/2015,93,72,50,94301
9/8/2015,96,76,55,94301
9/9/2015,96,78,59,94301
9/10/2015,87,74,60,94301
9/11/2015,84,73,62,94301
9/12/2015,78,68,59,94301
9/13/2015,78,71,64,94301
9/14/2015,75,68,62,94301
9/15/2015,73,66,59,94301
9/16/2015,73,64,55,94301
9/17/2015,75,66,57,94301
9/18/2015,84,68,53,94301
9/19/2015,86,68,51,94301
9/20/2015,95,75,55,94301
9/21/2015,93,78,62,94301
9/22/2015,73,65,57,94301
9/23/2015,80,65,50,94301
9/24/2015,87,72,57,94301
9/25/2015,80,68,57,94301
9/26/2015,77,67,57,94301
9/27/2015,75,65,55,94301
9/28/2015,73,66,60,94301
9/29/2015,69,64,60,94301
9/30/2015,66,62,59,94301
10/1/2015,75,68,60,94301
10/2/2015,77,65,53,94301
10/3/2015,77,64,51,94301
10/4/2015,75,62,48,94301
10/5/2015,77,68,59,94301
10/6/2015,75,65,55,94301
10/7/2015,77,70,62,94301
10/8/2015,82,70,59,94301
10/9/2015,78,66,55,94301
10/10/2015,75,68,60,94301
10/11/2015,78,66,55,94301
10/12/2015,84,70,55,94301
10/13/2015,87,72,57,94301
10/14/2015,78,69,60,94301
10/15/2015,75,68,62,94301
10/16/2015,75,68,62,94301
10/17/2015,69,66,60,94301
10/18/2015,71,64,57,94301
10/19/2015,71,66,62,94301
10/20/2015,82,66,51,94301
